| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 950226 | 180 ESG领先 | 上证180 ESG领先指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 60 | 1174.54 | 0.8 | 股票 | ESG | 人民币 | 否 | 否 | IOSCO | 主题 | 2022-01-24 |
| 950227 | 380 ESG领先 | 上证380 ESG领先指数 | 2021-06-30 | 1000.0 | 上证系列指数 | 119 | 1175.25 | 2.14 | 股票 | ESG | 人民币 | 否 | 否 | IOSCO | 主题 | 2022-01-24 |
| 950228 | 智选科创价值50 | 上证智选科创板价值50策略指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1801.42 | 4.08 | 股票 |  | 人民币 | 是 | 是 | 无 | 策略 | 2024-08-23 |
| 950229 | 沪国债及政金债 | 上证国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 183 | 214.93 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950230 | 沪0-1国债及政金债 | 上证0-1年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 47 | 154.25 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950231 | 沪0-3国债及政金债 | 上证0-3年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 86 | 166.42 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950232 | 沪1-3国债及政金债 | 上证1-3年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 39 | 174.77 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950233 | 沪0-5国债及政金债 | 上证0-5年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 113 | 174.86 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950234 | 沪3-5国债及政金债 | 上证3-5年国债及政策性金融债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 27 | 194.45 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2022-05-23 |
| 950235 | 上证长江信用债 | 上证长江经济带信用债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 2581 | 171.7 | 0.12 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-07-22 |
| 950236 | 上证黄河信用债 | 上证黄河流域信用债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 938 | 175.87 | 0.08 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-07-22 |
| 950237 | 上证京津冀信用债 | 上证京津冀信用债指数 | 2014-12-31 | 100.0 | 上证系列指数 | 1154 | 168.11 | 0.01 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-07-22 |
| 950238 | 上证光伏 | 上证光伏产业指数 | 2017-12-29 | 1000.0 | 上证系列指数 | 30 | 1101.15 | 5.5 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2022-10-11 |
| 950239 | 上证太阳能 | 上证太阳能产业指数 | 2017-12-29 | 1000.0 | 上证系列指数 | 50 | 1116.47 | 3.73 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2022-10-11 |
| 950240 | 上证央企债 | 上证央企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 222 | 176.32 | 0.04 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-09-23 |
| 950241 | 上证0-3年央企债 | 上证0-3年央企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 108 | 154.78 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-09-23 |
| 950242 | 上证0-5年央企债 | 上证0-5年央企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 159 | 166.69 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2022-09-23 |
| 950243 | 沪做市国债 | 上证基准做市国债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 24 | 112.2 | 0.25 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 利率债 | 2023-02-06 |
| 950245 | 沪做市公司债 | 上证基准做市公司债指数 | 2022-06-30 | 100.0 | 上证系列指数 | 338 | 112.36 | 0.02 | 固定收益 |  | 人民币 | 否 | 是 | 无 | 信用债 | 2023-02-06 |
| 950246 | 上证国企债 | 上证国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 6358 | 186.8 | 0.09 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950247 | 上证0-3国企债 | 上证0-3年国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 3673 | 170.18 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950248 | 上证0-5国企债 | 上证0-5年国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 5532 | 177.52 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950249 | 上证AAA国企债 | 上证AAA国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 2028 | 144.28 | 0.05 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950250 | 上证短期AAA国企债 | 上证短期AAA国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 417 | 131.43 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950251 | 上证0-3 AAA国企债 | 上证0-3年AAA国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1112 | 137.07 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950252 | 上证0-5 AAA国企债 | 上证0-5年AAA国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1550 | 138.73 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950255 | 科创医疗 | 上证科创板医疗指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 30 | 845.0 | 0.18 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2024-07-25 |
| 950257 | 上证信用 | 上证信用债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 6677 | 261.0 | 0.09 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-02-03 |
| 950258 | 上证红利质量 | 上证红利质量指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 50 | 4099.26 | 2.64 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2025-01-24 |
| 950259 | 上证180红利质量 | 上证180红利质量指数 | 2013-12-31 | 1000.0 | 上证系列指数 | 50 | 3106.95 | 3.04 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2025-01-24 |
| 950265 | 沪地企债 | 上证地方国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 4846 | 188.17 | 0.12 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950266 | 沪0-3地企债 | 上证0-3年地方国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 2740 | 174.9 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950267 | 沪0-5地企债 | 上证0-5年地方国企信用债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 4287 | 182.44 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950268 | 沪AAA地企债 | 上证AAA地方国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1026 | 141.55 | 0.08 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950269 | 沪短期AAA地企债 | 上证短期AAA地方国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 204 | 132.22 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950270 | 沪0-3 AAA地企债 | 上证0-3年AAA地方国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 564 | 137.43 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950271 | 沪0-5 AAA地企债 | 上证0-5年AAA地方国企信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 801 | 139.35 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-09-06 |
| 950272 | 沪能源信用债 | 上证能源信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 163 | 142.24 | -0.05 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950273 | 沪原材料信用债 | 上证原材料信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 259 | 142.75 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950275 | 沪工业信用债 | 上证工业信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 1071 | 142.91 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950276 | 沪可选消费信用债 | 上证可选消费信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 45 | 140.46 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950277 | 沪主要消费信用债 | 上证主要消费信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 59 | 143.78 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950278 | 沪医药卫生信用债 | 上证医药卫生信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 56 | 142.35 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950279 | 沪信息技术信用债 | 上证信息技术信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 60 | 139.13 | 0.04 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950280 | 沪通信服务信用债 | 上证通信服务信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 15 | 137.38 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950281 | 沪公用事业信用债 | 上证公用事业信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 409 | 141.25 | 0.08 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950282 | 沪房地产信用债 | 上证房地产信用债指数 | 2016-12-30 | 100.0 | 上证系列指数 | 350 | 138.27 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-14 |
| 950283 | 科创盈利质量 | 上证科创板盈利质量策略指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 50 | 1592.16 | 1.31 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-08-23 |
| 950285 | 沪高等级担保机构增信产业债 | 上证高等级担保机构增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 12 | 156.52 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950286 | 沪高等级增信产业债 | 上证高等级增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 63 | 144.04 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950287 | 沪0-3高等级增信产业债 | 上证0-3年高等级增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 33 | 136.53 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950288 | 沪0-5高等级增信产业债 | 上证0-5年高等级增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 48 | 139.26 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950289 | 沪AAA增信产业债 | 上证AAA增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 58 | 145.13 | 0.06 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950290 | 沪0-3 AAA增信产业债 | 上证0-3年AAA增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 30 | 136.83 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950291 | 沪0-5 AAA增信产业债 | 上证0-5年AAA增信产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 43 | 139.95 | 0.15 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2023-12-28 |
| 950292 | 沪投资级公司信用债 | 上证投资级公司信用债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 1271 | 141.86 | 0.09 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950293 | 沪投资级公司AAA信用债 | 上证投资级公司AAA信用债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 978 | 141.31 | 0.08 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950295 | 沪短期投资级公司AAA信用债 | 上证短期投资级公司AAA信用债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 190 | 127.77 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950296 | 沪0-3投资级公司AAA信用债 | 上证0-3年投资级公司AAA信用债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 541 | 134.73 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950297 | 沪0-5投资级公司AAA信用债 | 上证0-5年投资级公司AAA信用债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 791 | 137.74 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950298 | 沪投资级公司产业债 | 上证投资级公司产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 714 | 141.57 | 0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950299 | 沪投资级公司AAA产业债 | 上证投资级公司AAA产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 592 | 141.42 | 0.09 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950300 | 沪短期投资级公司AAA产业债 | 上证短期投资级公司AAA产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 121 | 127.74 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950301 | 沪0-3投资级公司AAA产业债 | 上证0-3年投资级公司AAA产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 345 | 134.86 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950302 | 沪0-5投资级公司AAA产业债 | 上证0-5年投资级公司AAA产业债指数 | 2017-12-29 | 100.0 | 上证系列指数 | 492 | 138.01 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-04-08 |
| 950305 | 沪7-20年国债 | 上证7-20年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 45 | 235.26 | 0.36 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950306 | 沪7-30年国债 | 上证7-30年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 70 | 257.03 | 0.32 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950307 | 沪7-50年国债 | 上证7-50年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 97 | 269.44 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950308 | 沪17-30年国债 | 上证17-30年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 34 | 293.37 | 0.25 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950309 | 沪17-50年国债 | 上证17-50年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 61 | 306.71 | 0.02 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950310 | 沪27-50年国债 | 上证27-50年国债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 37 | 309.92 | -0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2024-09-02 |
| 950311 | 上证地债 | 上证地方政府债指数 | 2013-12-31 | 100.0 | 上证系列指数 | 12818 | 169.2 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950312 | 上证一般地债 | 上证地方政府一般债指数 | 2015-12-31 | 100.0 | 上证系列指数 | 2632 | 144.23 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950313 | 上证专项地债 | 上证地方政府专项债指数 | 2015-12-31 | 100.0 | 上证系列指数 | 10186 | 151.09 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950315 | 沪0-3高等级信用票息策略 | 上证0-3年高等级信用债票息策略指数 | 2016-12-30 | 100.0 | 上证系列指数 | 226 | 141.19 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-08-12 |
| 950316 | 沪0-3中高信用票息策略 | 上证0-3年中高等级信用债票息策略指数 | 2016-12-30 | 100.0 | 上证系列指数 | 212 | 146.79 | 0.23 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-08-12 |
| 950317 | 沪0-5高等级信用票息策略 | 上证0-5年高等级信用债票息策略指数 | 2016-12-30 | 100.0 | 上证系列指数 | 396 | 143.55 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-08-12 |
| 950318 | 沪0-5中高信用票息策略 | 上证0-5年中高等级信用债票息策略指数 | 2016-12-30 | 100.0 | 上证系列指数 | 369 | 148.35 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2024-08-12 |
| 950319 | 沪2027信用债 | 上证2027到期信用债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 404 | 137.01 | 0.19 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950320 | 沪2028信用债 | 上证2028到期信用债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 365 | 141.22 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950321 | 沪2029信用债 | 上证2029到期信用债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 235 | 144.19 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950322 | 沪2030信用债 | 上证2030到期信用债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 197 | 146.77 | 0.02 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950323 | 沪2031信用债 | 上证2031到期信用债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 60 | 148.76 | -0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950325 | 沪2032信用债 | 上证2032到期信用债指数 | 2022-12-30 | 100.0 | 上证系列指数 | 47 | 120.17 | -0.33 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950326 | 沪2027国债及政金债 | 上证2027到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 22 | 128.65 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950327 | 沪2028国债及政金债 | 上证2028到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 16 | 130.55 | 0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950328 | 沪2029国债及政金债 | 上证2029到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 12 | 131.19 | 0.07 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950329 | 沪2030国债及政金债 | 上证2030到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 12 | 134.28 | 0.16 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950330 | 沪2031国债及政金债 | 上证2031到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 6 | 135.95 | 0.25 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950331 | 沪2032国债及政金债 | 上证2032到期国债及政策性金融债指数 | 2018-12-28 | 100.0 | 上证系列指数 | 10 | 137.07 | 0.31 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 利率债 | 2025-01-16 |
| 950332 | 科创计算机 | 上证科创板计算机主题指数 | 2022-12-30 | 1000.0 | 上证系列指数 | 50 | 1164.4 | -3.3 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2025-05-27 |
| 950335 | 上证融资租赁ABS | 上证融资租赁资产支持证券指数 | 2019-12-31 | 100.0 | 上证系列指数 | 742 | 124.19 | 0.21 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-11-20 |
| 950336 | 上证应收账款ABS | 上证应收账款资产支持证券指数 | 2019-12-31 | 100.0 | 上证系列指数 | 361 | 122.43 | 0.21 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-11-20 |
| 950337 | 上证消费金融ABS | 上证消费金融资产支持证券指数 | 2019-12-31 | 100.0 | 上证系列指数 | 331 | 121.39 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-11-20 |
| 950338 | 上证小微贷款ABS | 上证小微贷款资产支持证券指数 | 2019-12-31 | 100.0 | 上证系列指数 | 222 | 123.37 | 0.18 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-11-20 |
| 950339 | 上证供应链金融ABS | 上证供应链金融资产支持证券指数 | 2019-12-31 | 100.0 | 上证系列指数 | 222 | 116.12 | 0.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 其他固收指数 | 2024-11-20 |
| 950340 | 上证180债券 | 上证180债券指数 | 2017-12-29 | 100.0 | 上证系列指数 | 708 | 138.22 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950341 | 上证180AAA债券 | 上证180AAA债券指数 | 2017-12-29 | 100.0 | 上证系列指数 | 672 | 137.92 | 0.14 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950342 | 上证180AAA0-3债券 | 上证180 AAA0-3年债券指数 | 2017-12-29 | 100.0 | 上证系列指数 | 462 | 132.74 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950343 | 上证180AAA0-5债券 | 上证180 AAA0-5年债券指数 | 2017-12-29 | 100.0 | 上证系列指数 | 589 | 135.13 | 0.17 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2025-01-16 |
| 950346 | 上证红利股债RP | 上证红利股债风险平价指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1439.53 | 0.31 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950347 | 上证红利股债10/90 | 上证红利股债恒定比例10/90指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1454.16 | 0.61 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950348 | 上证红利股债20/80 | 上证红利股债恒定比例20/80指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1487.14 | 1.03 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950349 | 上证红利股债30/70 | 上证红利股债恒定比例30/70指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1518.5 | 1.46 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950350 | 上证红利股债稳健配置10% | 上证红利股债稳健配置10%策略指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1477.83 | 0.69 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950351 | 上证红利股债稳健配置20% | 上证红利股债稳健配置20%策略指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1550.19 | 1.23 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950352 | 上证红利股债稳健配置30% | 上证红利股债稳健配置30%策略指数 | 2017-06-30 | 1000.0 | 上证系列指数 | 2 | 1631.04 | 1.67 | 多资产 |  | 人民币 | 否 | 否 | 无 | 策略 | 2024-11-21 |
| 950358 | 上证工业转债及可交换债 | 上证工业可转债及可交换债指数 | 2019-12-31 | 100.0 | 上证系列指数 | 24 | 136.12 | 3.22 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-04-01 |
| 950359 | 上证原材料转债及可交换债 | 上证原材料可转债及可交换债指数 | 2021-12-31 | 100.0 | 上证系列指数 | 19 | 103.1 | 0.58 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-04-01 |
| 950360 | 上证可选消费转债及可交换债 | 上证可选消费可转债及可交换债指数 | 2019-12-31 | 100.0 | 上证系列指数 | 16 | 109.96 | 0.04 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-04-01 |
| 950363 | 科创民企 | 上证科创板民营企业指数 | 2019-12-31 | 1000.0 | 上证系列指数 | 420 | 1106.11 | -2.6 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2025-07-23 |
| 950365 | 沪AAA转债及可交换债 | 上证AAA可转债及可交换债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 18 | 140.53 | 2.01 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-06-27 |
| 950366 | 沪中高等级转债及可交换债 | 上证中高等级可转债及可交换债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 101 | 149.75 | 1.92 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-06-27 |
| 950367 | 沪高等级转债及可交换债 | 上证高等级可转债及可交换债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 34 | 146.07 | 1.97 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2025-06-27 |
| 950368 | 上证国企绿债 | 上证国企绿色债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 250 | 146.1 | 0.13 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2025-09-30 |
| 950369 | 上证AAA国企绿债 | 上证AAA国企绿色债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 109 | 141.86 | 0.1 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2025-09-30 |
| 950370 | 上证高等级国企绿债 | 上证高等级国企绿色债券指数 | 2016-12-30 | 100.0 | 上证系列指数 | 177 | 142.79 | 0.12 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 综合债 | 2025-09-30 |
