| 指数代码 | 指数简称 | 指数全称 | 基日 | 基点 | 指数系列 | 样本数量 | 最新收盘 | 近一个月收益率 | 资产类别 | 指数热点 | 指数币种 | 合作指数 | 跟踪产品 | 指数合规 | 指数类别 | 发布时间 |
| 000096 | 上证下游 | 上证下游产业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 148 | 4408.03 | -2.79 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-05-10 |
| 000097 | 高端装备 | 上证高端装备制造60指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 59 | 11214.49 | 2.04 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-05-24 |
| 000098 | 上证F200 | 上证基本面200指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 199 | 5490.6 | 3.23 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2011-07-01 |
| 000099 | 上证F300 | 上证基本面300指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 300 | 9039.01 | 0.46 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2011-07-01 |
| 000100 | 上证F500 | 上证基本面500指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 499 | 6192.69 | 2.76 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2011-07-01 |
| 000101 | 5年信用 | 上证5年期信用债指数 | 2007-12-31 | 100.0 | 上证系列指数 | 618 | 250.48 | 0.2 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-04-01 |
| 000102 | 沪投资品 | 上证投资品指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 49 | 7245.75 | 8.89 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-06-13 |
| 000103 | 沪消费品 | 上证消费品指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 48 | 8532.65 | -3.63 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-06-13 |
| 000104 | 380能源 | 上证380能源指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 14 | 1381.36 | 6.9 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000105 | 380材料 | 上证380原材料指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 49 | 4893.02 | 1.92 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000106 | 380工业 | 上证380工业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 106 | 5636.75 | 0.38 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000107 | 380可选 | 上证380可选消费指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 34 | 5793.29 | -4.36 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000108 | 380消费 | 上证380主要消费指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 20 | 12226.09 | -2.22 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000109 | 380医药 | 上证380医药卫生指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 40 | 10669.72 | -4.34 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000110 | 380金融 | 上证380金融指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 20 | 4297.05 | 3.08 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000111 | 380信息 | 上证380信息技术指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 46 | 9936.37 | 2.67 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000112 | 380通信 | 上证380通信服务指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 21 | 5765.83 | -7.16 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000113 | 380公用 | 上证380公用事业指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 17 | 3111.62 | 5.2 | 股票 |  | 人民币 | 否 | 否 | IOSCO | 行业 | 2011-06-13 |
| 000114 | 持续产业 | 上证可持续发展产业主题指数 | 2011-06-30 | 1000.0 | 上证系列指数 | 40 | 1247.89 | 4.97 | 股票 | 绿色 | 人民币 | 否 | 否 | 无 | 主题 | 2011-08-22 |
| 000115 | 380等权 | 上证380等权重指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 380 | 8549.39 | 0.05 | 股票 |  | 人民币 | 否 | 否 | 无 | 策略 | 2011-08-12 |
| 000116 | 信用100 | 上证信用债100指数 | 2007-12-31 | 100.0 | 上证系列指数 | 100 | 198.52 | 0.11 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 信用债 | 2013-02-26 |
| 000117 | 380成长 | 上证380成长指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 120 | 4255.05 | -0.53 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2011-10-18 |
| 000118 | 380价值 | 上证380价值指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 119 | 9980.33 | 2.61 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2011-10-18 |
| 000119 | 380R成长 | 上证380相对成长指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 282 | 4295.41 | -0.51 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2011-10-18 |
| 000120 | 380R价值 | 上证380相对价值指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 281 | 9495.23 | 1.35 | 股票 |  | 人民币 | 否 | 否 | 无 | 风格 | 2011-10-18 |
| 000121 | 医药主题 | 上证医药主题指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 50 | 8691.89 | -4.08 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-10-18 |
| 000122 | 上证农业 | 上证农业主题指数 | 2011-06-30 | 1000.0 | 上证系列指数 | 32 | 1601.23 | 0.86 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-10-18 |
| 000123 | 180动态 | 上证180动态指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 90 | 7097.69 | 3.78 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2013-02-08 |
| 000125 | 180稳定 | 上证180稳定指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 90 | 11903.86 | 2.66 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2013-02-08 |
| 000126 | 消费50 | 上证消费50指数 | 2004-12-31 | 1000.0 | 上证系列指数 | 50 | 8483.64 | -3.65 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2011-12-09 |
| 000128 | 380基本 | 上证380基本面加权指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 379 | 9013.23 | 0.79 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-01-09 |
| 000129 | 180波动 | 上证180波动率加权指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 100 | 15376.13 | 3.12 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-01-09 |
| 000130 | 380波动 | 上证380波动率加权指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 99 | 13500.47 | 1.97 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-01-09 |
| 000131 | 上证高新 | 上证高新技术企业指数 | 2011-06-30 | 1000.0 | 上证系列指数 | 50 | 3711.32 | -6.0 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-02-10 |
| 000132 | 上证100 | 上证100指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 100 | 5974.92 | 0.83 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2012-04-20 |
| 000133 | 上证150 | 上证150指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 149 | 6428.24 | 0.39 | 股票 |  | 人民币 | 否 | 否 | 无 | 规模 | 2012-04-20 |
| 000134 | 上证银行 | 上证银行股指数 | 2007-12-31 | 1000.0 | 上证系列指数 | 26 | 1040.69 | 3.94 | 股票 |  | 人民币 | 否 | 否 | 无 | 主题 | 2012-05-29 |
| 000135 | 180高贝 | 上证180高贝塔指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 59 | 6118.69 | 2.63 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-08-06 |
| 000136 | 180低贝 | 上证180低贝塔指数 | 2002-06-28 | 3299.06 | 上证系列指数 | 60 | 13389.98 | 5.15 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2012-08-06 |
| 000137 | 380高贝 | 上证380高贝塔指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 100 | 5847.2 | -1.31 | 股票 | Smart Beta | 人民币 | 否 | 否 | 无 | 策略 | 2012-08-06 |
| 000138 | 380低贝 | 上证380低贝塔指数 | 2003-12-31 | 1000.0 | 上证系列指数 | 99 | 8279.38 | 3.1 | 股票 | 低风险 | 人民币 | 否 | 否 | 无 | 策略 | 2012-08-06 |
| 000139 | 上证转债 | 上证可转换债券指数 | 2002-12-31 | 100.0 | 上证系列指数 | 195 | 419.15 | 1.3 | 固定收益 |  | 人民币 | 否 | 否 | 无 | 可转债 | 2012-09-12 |
